#ZVView-data-copy:  22-May-2020 09:51:50
#=======================================
#
#name:   26-FE-0(D,X)27-CO-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  155
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         12.54         0.32        0.131        0.014  # 1996,S.Takacs+           ## D4044004  #dY:10.7%  
         12.55          0.6       0.1308       0.0002  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.2%   
         12.62         0.38         0.13        0.008  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.2%   
        13.102        0.097      0.08431      0.00462  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
         13.28         0.47        0.124        0.014  # 1996,S.Takacs+           ## D4044004  #dY:11.3%  
          13.3          0.3        0.128        0.014  # 1996,S.Takacs+           ## D4044004  #dY:10.9%  
          13.4         0.36        0.127        0.008  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.3%   
          13.5          0.5        0.124            0  # 1991,P.Jung              ## D4058043             
        13.854        0.146      0.07147       0.0037  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.2%   
         13.99         0.36        0.106        0.007  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.6%   
         14.01         0.45        0.115        0.013  # 1996,S.Takacs+           ## D4044004  #dY:11.3%  
         14.03         0.29        0.113        0.013  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
         14.45         0.57       0.1004       0.0002  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.2%   
        14.653        0.138      0.06714      0.00368  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
         14.71         0.34        0.105        0.009  # 2014,M.Avrigeanu+        ## D0672007  #dY:8.6%   
         14.72         0.34          0.1        0.006  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.0%   
         14.72         0.43         0.11        0.013  # 1996,S.Takacs+           ## D4044004  #dY:11.8%  
         14.74         0.28        0.105        0.012  # 1996,S.Takacs+           ## D4044004  #dY:11.4%  
         15.27         0.33       0.0929       0.0055  # 2014,M.Avrigeanu+        ## D0672007  #dY:5.9%   
         15.31            0      0.12978      0.01807  # 2007,K.Ochiai+           ## E2121006  #dY:13.9%  
          15.4         0.41        0.104        0.013  # 1996,S.Takacs+           ## D4044004  #dY:12.5%  
