#ZVView-data-copy:   4-May-2020 19:19:25
#=======================================
#
#name:   26-FE-0(D,X)27-CO-56,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  110
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         19.39         0.51       0.2761       0.0005  # 2013,Khandaker      ## E2439003  #dY:0.2%   
         19.68         0.29        0.276        0.037  # 1997,Takacs           ## D4044006  #dY:13.4%  
        19.891        0.109      0.32339      0.01617  # 1995,Wenrong       ## S0044003  #dY:5.0%   
         20.17         0.49       0.2606       0.0005  # 2013,Khandaker      ## E2439003  #dY:0.2%   
         20.24         0.28        0.271        0.037  # 1997,Takacs           ## D4044006  #dY:13.7%  
         20.59            0      0.27471      0.03649  # 2008,Ochiai           ## E2121005  #dY:13.3%  
         20.78         0.26        0.264        0.036  # 1997,Takacs           ## D4044006  #dY:13.6%  
         21.32         0.25        0.253        0.035  # 1997,Takacs           ## D4044006  #dY:13.8%  
         21.55         0.49        0.244       0.0005  # 2013,Khandaker      ## E2439003  #dY:0.2%   
          21.9          1.3       0.2299       0.0262  # 2001,Takacs           ## D4081005  #dY:11.4%  
         22.28            0      0.26359      0.03538  # 2008,Ochiai           ## E2121005  #dY:13.4%  
         22.28         0.49       0.2289       0.0004  # 2013,Khandaker      ## E2439003  #dY:0.2%   
          23.7          0.4          0.2       0.0229  # 2001,Takacs           ## D4081005  #dY:11.4%  
         23.78         0.47       0.1998       0.0004  # 2013,Khandaker      ## E2439003  #dY:0.2%   
          25.3          1.1       0.1595       0.0181  # 2001,Takacs           ## D4081005  #dY:11.3%  
         25.98            0      0.19986      0.02681  # 2008,Ochiai           ## E2121005  #dY:13.4%  
         26.38            0      0.19249      0.02572  # 2008,Ochiai           ## E2121005  #dY:13.4%  
         27.65            0      0.16657       0.0222  # 2008,Ochiai           ## E2121005  #dY:13.3%  
          28.2          0.3       0.1308       0.0152  # 2001,Takacs           ## D4081005  #dY:11.6%  
         28.54            0      0.14508      0.01996  # 2008,Ochiai           ## E2121005  #dY:13.8%  
          28.9          0.3         0.12       0.0138  # 2001,Takacs           ## D4081005  #dY:11.5%  
            29          0.9       0.1069       0.0123  # 2001,Takacs           ## D4081005  #dY:11.5%  
          29.5            0      0.13587      0.01764  # 2008,Ochiai           ## E2121005  #dY:13.0%  
         30.59            0      0.11175       0.0153  # 2008,Ochiai           ## E2121005  #dY:13.7%  
          31.1          0.8       0.0905       0.0103  # 2001,Takacs           ## D4081005  #dY:11.4%  
         31.27            0      0.10924      0.01425  # 2008,Ochiai           ## E2121005  #dY:13.0%  
