# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 3.500000e+00 1.240980e+02 1.016499e-01 1.240980e+02 2.617889e-02 4.861464e+01 0.000000e+00
 6.000000e+00 7.838234e+02 6.001258e-01 7.838234e+02 1.520347e-01 1.960730e+02 0.000000e+00
 8.500000e+00 1.186839e+03 2.543595e-01 1.186839e+03 1.622430e-01 1.607551e+02 0.000000e+00
 1.100000e+01 1.393596e+03 7.622539e-02 1.393596e+03 1.017639e-01 1.235332e+02 0.000000e+00
 1.350000e+01 1.509372e+03 2.041669e-02 1.509372e+03 3.559313e-02 1.106436e+02 0.000000e+00
 1.600000e+01 1.578490e+03 5.519828e-03 1.578490e+03 7.017991e-03 1.065565e+02 0.000000e+00
 1.850000e+01 1.621431e+03 1.571629e-03 1.621431e+03 1.125948e-03 1.032597e+02 0.000000e+00
 2.100000e+01 1.648580e+03 4.683010e-04 1.648580e+03 2.234140e-04 1.011188e+02 0.000000e+00
 2.350000e+01 1.665137e+03 1.450759e-04 1.665137e+03 6.400164e-05 9.724963e+01 0.000000e+00
 2.600000e+01 1.674243e+03 4.654643e-05 1.674243e+03 2.624642e-05 9.297952e+01 0.000000e+00
 2.850000e+01 1.678995e+03 1.554644e-05 1.678995e+03 1.255740e-05 8.839480e+01 0.000000e+00
 3.100000e+01 1.680662e+03 5.395788e-06 1.680662e+03 5.524248e-06 8.378107e+01 0.000000e+00
 3.350000e+01 1.679658e+03 1.937879e-06 1.679658e+03 1.964744e-06 7.933427e+01 0.000000e+00
 3.600000e+01 1.676768e+03 7.177550e-07 1.676768e+03 5.797181e-07 7.513356e+01 0.000000e+00
 3.850000e+01 1.672660e+03 2.738421e-07 1.672660e+03 1.628776e-07 7.118244e+01 0.000000e+00
 4.100000e+01 1.667562e+03 1.082363e-07 1.667562e+03 4.918456e-08 6.730753e+01 0.000000e+00
