natNi(d,x)56Co					
 					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
0.0	0.0	0.00	4.17E-06	1.13E-04	4.17E-06
0.5	0.0	0.00	4.17E-06	1.13E-04	4.17E-06
1.0	0.0	0.00	4.17E-06	1.13E-04	4.17E-06
1.5	0.0	0.00	4.17E-06	1.13E-04	4.17E-06
2.0	0.0	0.00	4.17E-06	1.13E-04	4.17E-06
2.5	0.20	0.02	4.17E-06	1.13E-04	4.17E-06
2.6	0.57	0.05	1.65E-05	4.47E-04	1.65E-05
2.7	0.95	0.09	3.75E-05	1.01E-03	3.75E-05
2.8	1.32	0.12	6.73E-05	1.82E-03	6.73E-05
2.9	1.71	0.15	1.06E-04	2.88E-03	1.06E-04
3.0	2.10	0.15	1.56E-04	4.21E-03	1.56E-04
3.1	2.50	0.18	2.15E-04	5.82E-03	2.15E-04
3.2	2.91	0.21	2.86E-04	7.73E-03	2.86E-04
3.3	3.33	0.24	3.69E-04	9.96E-03	3.69E-04
3.4	3.76	0.27	4.63E-04	1.25E-02	4.63E-04
3.5	4.19	0.31	5.71E-04	1.54E-02	5.71E-04
3.6	4.64	0.34	6.93E-04	1.87E-02	6.93E-04
3.7	5.09	0.37	8.28E-04	2.24E-02	8.28E-04
3.8	5.56	0.41	9.79E-04	2.64E-02	9.78E-04
3.9	6.03	0.44	1.14E-03	3.09E-02	1.14E-03
4.0	6.51	0.48	1.32E-03	3.58E-02	1.32E-03
4.1	7.00	0.51	1.52E-03	4.11E-02	1.52E-03
4.2	7.50	0.55	1.74E-03	4.70E-02	1.74E-03
4.3	8.00	0.59	1.97E-03	5.33E-02	1.97E-03
4.4	8.52	0.62	2.22E-03	6.01E-02	2.22E-03
4.5	9.04	0.66	2.49E-03	6.74E-02	2.49E-03
4.6	9.57	0.70	2.78E-03	7.53E-02	2.78E-03
4.7	10.11	0.74	3.10E-03	8.37E-02	3.10E-03
4.8	10.65	0.78	3.43E-03	9.27E-02	3.43E-03
4.9	11.21	0.82	3.78E-03	1.02E-01	3.78E-03
5.0	11.77	0.79	4.16E-03	1.12E-01	4.16E-03
5.1	12.34	0.83	4.56E-03	1.23E-01	4.56E-03
5.2	12.92	0.86	4.99E-03	1.35E-01	4.98E-03
5.3	13.51	0.90	5.43E-03	1.47E-01	5.43E-03
5.4	14.10	0.94	5.91E-03	1.60E-01	5.91E-03
5.5	14.70	0.98	6.41E-03	1.73E-01	6.41E-03
5.6	15.30	1.02	6.94E-03	1.87E-01	6.94E-03
5.7	15.91	1.06	7.49E-03	2.02E-01	7.49E-03
5.8	16.52	1.11	8.07E-03	2.18E-01	8.07E-03
5.9	17.14	1.15	8.69E-03	2.35E-01	8.68E-03
6.0	17.76	1.11	9.33E-03	2.52E-01	9.32E-03
6.1	18.38	1.15	1.00E-02	2.70E-01	9.99E-03
6.2	19.01	1.19	1.07E-02	2.89E-01	1.07E-02
6.3	19.63	1.23	1.14E-02	3.09E-01	1.14E-02
6.4	20.26	1.26	1.22E-02	3.29E-01	1.22E-02
