# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 1.587904e-04 7.098364e-17 1.587904e-04 3.287802e-11 1.492453e-04 0.000000e+00
 3.500000e+00 1.502673e+02 2.185978e-02 1.445068e+02 2.606364e-02 1.178469e+02 0.000000e+00
 6.000000e+00 1.149075e+03 1.092948e-01 8.383594e+02 1.209116e-01 4.011990e+02 0.000000e+00
 8.500000e+00 2.001537e+03 4.269163e-02 1.243392e+03 1.134338e-01 2.868818e+02 0.000000e+00
 1.100000e+01 2.424745e+03 1.230725e-02 1.450221e+03 5.849446e-02 2.135143e+02 0.000000e+00
 1.350000e+01 2.637049e+03 3.410645e-03 1.565602e+03 1.449756e-02 1.908974e+02 0.000000e+00
 1.600000e+01 2.767593e+03 9.677499e-04 1.634627e+03 2.460305e-03 1.800338e+02 0.000000e+00
 1.850000e+01 2.854673e+03 2.851947e-04 1.677253e+03 4.230623e-04 1.729278e+02 0.000000e+00
 2.100000e+01 2.913407e+03 8.830539e-05 1.703866e+03 9.940500e-05 1.639862e+02 0.000000e+00
 2.350000e+01 2.953067e+03 2.821616e-05 1.719574e+03 3.250906e-05 1.565746e+02 0.000000e+00
 2.600000e+01 2.981083e+03 9.275057e-06 1.728554e+03 1.359354e-05 1.486721e+02 0.000000e+00
 2.850000e+01 3.001979e+03 3.196070e-06 1.733277e+03 5.726020e-06 1.408651e+02 0.000000e+00
 3.100000e+01 3.016462e+03 1.128469e-06 1.734427e+03 2.023107e-06 1.379118e+02 0.000000e+00
 3.350000e+01 3.024848e+03 4.144438e-07 1.732962e+03 6.167365e-07 1.306543e+02 0.000000e+00
 3.600000e+01 3.028007e+03 1.569282e-07 1.729883e+03 1.767047e-07 1.238432e+02 0.000000e+00
 3.850000e+01 3.026387e+03 6.109074e-08 1.725546e+03 5.193297e-08 1.174439e+02 0.000000e+00
 4.100000e+01 3.020425e+03 2.441911e-08 1.720120e+03 1.660984e-08 1.114418e+02 0.000000e+00
