# d +  60Ni: Production of  58Co - Ground state
# Q-value    = 6.08485E+00 mass=  57.935751
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs      Branching
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 2.05411E-15 0.00000E+00
 1.00000E+00 5.20280E-08 7.97847E-01
 2.00000E+00 4.74072E-03 7.90185E-01
 3.00000E+00 6.20451E-01 7.85727E-01
 4.00000E+00 7.42384E+00 7.80698E-01
 5.00000E+00 1.69684E+01 7.59624E-01
 6.00000E+00 3.37473E+01 7.38083E-01
 7.00000E+00 4.58496E+01 7.15764E-01
 8.00000E+00 5.24941E+01 6.93427E-01
 9.00000E+00 5.48336E+01 6.72358E-01
 1.00000E+01 5.30500E+01 6.52571E-01
 1.10000E+01 4.66433E+01 6.33852E-01
 1.20000E+01 3.66494E+01 6.15503E-01
 1.30000E+01 2.72140E+01 6.00460E-01
 1.40000E+01 2.07442E+01 5.96754E-01
 1.50000E+01 1.51495E+01 5.98767E-01
 1.60000E+01 1.17891E+01 6.07498E-01
 1.70000E+01 9.89949E+00 6.21623E-01
 1.80000E+01 8.23895E+00 6.33721E-01
 1.90000E+01 7.40037E+00 6.44877E-01
 2.00000E+01 6.49665E+00 6.52218E-01
 2.20000E+01 5.56179E+00 6.53551E-01
 2.40000E+01 5.00333E+00 6.42839E-01
 2.60000E+01 4.86505E+00 6.27310E-01
 2.80000E+01 4.95981E+00 5.90666E-01
 3.00000E+01 6.56082E+00 4.94143E-01
 3.50000E+01 3.81166E+01 3.67266E-01
 4.00000E+01 9.36037E+01 3.91912E-01
 4.50000E+01 1.18989E+02 4.20161E-01
 5.00000E+01 1.21427E+02 4.49082E-01
 5.50000E+01 1.24784E+02 4.71676E-01
 6.00000E+01 1.33102E+02 4.80012E-01
 6.50000E+01 1.44107E+02 4.86130E-01
 7.00000E+01 1.49942E+02 4.85283E-01
 7.50000E+01 1.54124E+02 4.86961E-01
 8.00000E+01 1.47589E+02 4.88334E-01
 9.00000E+01 1.32446E+02 4.95666E-01
 1.00000E+02 1.05493E+02 4.99904E-01
 1.10000E+02 8.41060E+01 5.08980E-01
 1.20000E+02 6.46783E+01 5.19169E-01
 1.30000E+02 5.30357E+01 5.31613E-01
 1.40000E+02 4.15061E+01 5.41055E-01
 1.50000E+02 3.55081E+01 5.51102E-01
 1.60000E+02 3.10114E+01 5.62275E-01
 1.80000E+02 2.41505E+01 5.69831E-01
 2.00000E+02 2.19686E+01 5.79836E-01
