70.117,39.614,5.7058
#70.117,57.782,20.395
-5.9005e+07,NaN,NaN
70.117,43.738,16.876
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
85.45,35.939,11.631
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
56.4,61.284,29.037
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
#177.1,103.35,44.69
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
372.23,12.178,3.1579
#372.23,42.389,9.6068
-5.9005e+07,NaN,NaN
372.23,16.558,7.1127
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
#34.633,33.304,11.969
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
#34.633,1570.4,98.38
-5.9005e+07,NaN,NaN
