# Reaction        (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)   (x,Ad)   (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)               
 1.000000e+00 7.910699e-06 8.366701e-07 3.538246e-06 5.109669e-19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.913261e-17 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.932802e-34 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 5.335505e+01 1.636505e+01 6.615583e+00 7.131448e-03 0.000000e+00 0.000000e+00 0.000000e+00 7.170460e-04 1.719326e-02 0.000000e+00 0.000000e+00 0.000000e+00 4.144907e-11 4.611043e-19 0.000000e+00 3.247612e-15 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 3.936784e+02 1.740640e+02 3.477801e+01 5.652668e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.024276e+02 2.250560e+01 0.000000e+00 0.000000e+00 0.000000e+00 4.176046e-03 9.022260e-08 0.000000e+00 1.776874e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 3.207788e+02 2.057156e+02 3.899980e+01 2.372753e+00 0.000000e+00 0.000000e+00 9.478397e+01 4.391403e+02 8.781663e+01 0.000000e+00 0.000000e+00 0.000000e+00 6.523488e-01 1.187625e-03 7.137678e-11 4.737639e-05 4.725298e-26 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 2.260028e+02 1.888769e+02 2.805466e+01 5.399583e+00 0.000000e+00 0.000000e+00 2.716707e+02 5.938085e+02 1.172870e+02 0.000000e+00 0.000000e+00 0.000000e+00 3.968692e+00 1.431980e-01 3.449963e-03 5.164684e-03 6.400576e-10 0.000000e+00 0.000000e+00 0.000000e+00 3.671453e-21 1.141108e-08 0.000000e+00 0.000000e+00
 1.350000e+01 1.943763e+02 1.897198e+02 1.904986e+01 9.946072e+00 0.000000e+00 0.000000e+00 3.394981e+02 6.572290e+02 1.527235e+02 4.397524e-04 0.000000e+00 0.000000e+00 9.152311e+00 2.426798e+00 5.058330e-01 9.268780e-02 1.575341e-04 0.000000e+00 0.000000e+00 3.343044e-08 3.321493e-08 3.919049e-02 0.000000e+00 0.000000e+00
 1.600000e+01 1.845970e+02 1.984939e+02 1.409909e+01 1.278706e+01 0.000000e+00 0.000000e+00 3.370533e+02 7.033287e+02 1.759318e+02 8.527062e-01 0.000000e+00 0.000000e+00 1.257883e+01 9.824671e+00 3.157422e+00 5.733782e-01 2.604504e-02 4.058569e-06 2.069512e-01 3.897400e-02 3.396793e-03 6.121874e+00 0.000000e+00 0.000000e+00
 1.850000e+01 1.788157e+02 2.003647e+02 1.117721e+01 1.245379e+01 0.000000e+00 0.000000e+00 2.952180e+02 7.067044e+02 1.744304e+02 6.481840e+00 0.000000e+00 0.000000e+00 1.396201e+01 1.729819e+01 5.010059e+00 1.525933e+00 1.693503e-01 2.121366e+00 3.160659e+01 3.035011e+00 7.405520e-01 5.223223e+01 0.000000e+00 0.000000e+00
 2.100000e+01 1.731602e+02 2.004401e+02 9.083645e+00 1.097428e+01 0.000000e+00 0.000000e+00 2.148003e+02 6.282521e+02 1.564064e+02 1.398279e+01 0.000000e+00 0.000000e+00 1.340326e+01 2.078881e+01 6.005980e+00 2.437950e+00 5.117068e-01 1.118262e+01 1.577237e+02 1.780007e+01 7.883616e+00 1.030657e+02 0.000000e+00 0.000000e+00
 2.350000e+01 1.652848e+02 1.976758e+02 7.660164e+00 9.571702e+00 0.000000e+00 0.000000e+00 1.520634e+02 5.337850e+02 1.253355e+02 2.053898e+01 0.000000e+00 0.000000e+00 1.213930e+01 2.032548e+01 6.886002e+00 2.899954e+00 1.202612e+00 2.451982e+01 3.046769e+02 4.539245e+01 2.261304e+01 1.173297e+02 0.000000e+00 0.000000e+00
