# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 1.228562e-05 5.109669e-19 1.228562e-05 3.090095e-12 7.910699e-06 0.000000e+00
 3.500000e+00 7.788127e+01 6.294442e-03 7.637322e+01 1.249919e-02 5.334875e+01 0.000000e+00
 6.000000e+00 9.472386e+02 9.160748e-02 7.281028e+02 7.966709e-02 3.935868e+02 0.000000e+00
 8.500000e+00 1.877166e+03 3.647697e-02 1.190331e+03 7.009471e-02 3.207423e+02 0.000000e+00
 1.100000e+01 2.390995e+03 9.293339e-03 1.435258e+03 3.695871e-02 2.259935e+02 0.000000e+00
 1.350000e+01 2.650382e+03 2.276383e-03 1.574771e+03 1.126753e-02 1.943740e+02 0.000000e+00
 1.600000e+01 2.807750e+03 5.760974e-04 1.659677e+03 2.137059e-03 1.845965e+02 0.000000e+00
 1.850000e+01 2.914357e+03 1.540291e-04 1.713355e+03 3.423514e-04 1.788156e+02 0.000000e+00
 2.100000e+01 2.987097e+03 4.342561e-05 1.748016e+03 6.958841e-05 1.731602e+02 0.000000e+00
 2.350000e+01 3.036625e+03 1.283156e-05 1.770475e+03 2.092826e-05 1.652848e+02 0.000000e+00
 2.600000e+01 3.072154e+03 3.967392e-06 1.785078e+03 8.225788e-06 1.567698e+02 0.000000e+00
 2.850000e+01 3.098298e+03 1.277177e-06 1.793599e+03 3.395823e-06 1.484088e+02 0.000000e+00
 3.100000e+01 3.117615e+03 4.260911e-07 1.797822e+03 1.226965e-06 1.449996e+02 0.000000e+00
 3.350000e+01 3.131824e+03 1.476236e-07 1.799296e+03 3.741194e-07 1.372382e+02 0.000000e+00
 3.600000e+01 3.141132e+03 5.281505e-08 1.798574e+03 1.030014e-07 1.298449e+02 0.000000e+00
 3.850000e+01 3.145438e+03 1.924664e-08 1.796027e+03 2.827067e-08 1.228519e+02 0.000000e+00
 4.100000e+01 3.145283e+03 7.299681e-09 1.792184e+03 8.545269e-09 1.163014e+02 0.000000e+00
