natCu(d,x)65Zn					
					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
4.3	3.00	0.12	2.71E-05	7.33E-04	2.71E-05
4.4	3.90	0.16	6.29E-05	1.70E-03	6.29E-05
4.5	4.90	0.20	1.08E-04	2.93E-03	1.08E-04
4.6	6.07	0.24	1.66E-04	4.48E-03	1.66E-04
4.7	7.43	0.30	2.37E-04	6.39E-03	2.37E-04
4.8	8.98	0.36	3.23E-04	8.74E-03	3.23E-04
4.9	10.73	0.43	4.29E-04	1.16E-02	4.29E-04
5.0	12.68	1.22	5.55E-04	1.50E-02	5.55E-04
5.1	14.83	1.42	7.04E-04	1.90E-02	7.04E-04
5.2	17.19	1.65	8.79E-04	2.37E-02	8.79E-04
5.3	19.76	1.90	1.08E-03	2.93E-02	1.08E-03
5.4	22.55	2.16	1.32E-03	3.56E-02	1.32E-03
5.5	25.55	2.45	1.59E-03	4.29E-02	1.59E-03
5.6	28.77	2.76	1.89E-03	5.12E-02	1.89E-03
5.7	32.20	3.09	2.24E-03	6.06E-02	2.24E-03
5.8	35.83	3.44	2.63E-03	7.12E-02	2.63E-03
5.9	39.65	3.80	3.07E-03	8.30E-02	3.07E-03
6.0	43.65	3.00	3.56E-03	9.62E-02	3.56E-03
6.1	47.82	3.28	4.10E-03	1.11E-01	4.10E-03
6.2	52.15	3.58	4.69E-03	1.27E-01	4.69E-03
6.3	56.62	3.89	5.34E-03	1.44E-01	5.34E-03
6.4	61.24	4.20	6.06E-03	1.64E-01	6.06E-03
6.5	65.98	4.53	6.83E-03	1.85E-01	6.83E-03
6.6	70.83	4.86	7.67E-03	2.07E-01	7.67E-03
6.7	75.79	5.20	8.58E-03	2.32E-01	8.58E-03
6.8	80.82	5.55	9.56E-03	2.58E-01	9.56E-03
6.9	85.90	5.90	1.06E-02	2.87E-01	1.06E-02
7.0	91.02	4.89	1.17E-02	3.17E-01	1.17E-02
7.1	96.16	5.16	1.29E-02	3.50E-01	1.29E-02
7.2	101.29	5.44	1.42E-02	3.84E-01	1.42E-02
7.3	106.40	5.71	1.56E-02	4.20E-01	1.56E-02
