# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 1.509475e-04 2.259826e-16 1.509475e-04 3.499532e-11 1.137674e-04 0.000000e+00
 3.500000e+00 1.457303e+02 6.299680e-02 1.402859e+02 2.709726e-02 9.949801e+01 0.000000e+00
 6.000000e+00 1.127752e+03 3.045085e-01 8.259063e+02 1.725040e-01 4.326754e+02 0.000000e+00
 8.500000e+00 1.973479e+03 1.301288e-01 1.229066e+03 1.988352e-01 3.454313e+02 0.000000e+00
 1.100000e+01 2.396528e+03 4.058811e-02 1.434889e+03 1.410808e-01 2.309100e+02 0.000000e+00
 1.350000e+01 2.608675e+03 1.118035e-02 1.549742e+03 5.854503e-02 1.797834e+02 0.000000e+00
 1.600000e+01 2.738500e+03 3.033087e-03 1.618380e+03 1.246180e-02 1.606874e+02 0.000000e+00
 1.850000e+01 2.825267e+03 8.454780e-04 1.660825e+03 2.074667e-03 1.507312e+02 0.000000e+00
 2.100000e+01 2.884200e+03 2.442192e-04 1.687423e+03 3.846145e-04 1.450590e+02 0.000000e+00
 2.350000e+01 2.924394e+03 7.369260e-05 1.703180e+03 1.008475e-04 1.381837e+02 0.000000e+00
 2.600000e+01 2.952576e+03 2.316754e-05 1.711992e+03 3.873614e-05 1.310127e+02 0.000000e+00
 2.850000e+01 2.973420e+03 7.580625e-06 1.716631e+03 1.767009e-05 1.237532e+02 0.000000e+00
 3.100000e+01 2.987872e+03 2.571754e-06 1.717871e+03 7.639438e-06 1.167448e+02 0.000000e+00
 3.350000e+01 2.996029e+03 9.027141e-07 1.716444e+03 2.739176e-06 1.101693e+02 0.000000e+00
 3.600000e+01 2.998766e+03 3.274798e-07 1.713331e+03 8.306204e-07 1.040529e+02 0.000000e+00
 3.850000e+01 2.996823e+03 1.235127e-07 1.709018e+03 2.378997e-07 9.811412e+01 0.000000e+00
 4.100000e+01 2.990707e+03 4.705173e-08 1.703647e+03 6.884692e-08 9.670130e+01 0.000000e+00
