# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 1.668342e-04 9.348147e-17 1.668342e-04 2.236233e-11 1.655447e-04 0.000000e+00
 3.500000e+00 1.548415e+02 2.586589e-02 1.487561e+02 2.012514e-02 1.377696e+02 0.000000e+00
 6.000000e+00 1.170366e+03 1.068212e-01 8.507412e+02 1.069946e-01 6.221102e+02 0.000000e+00
 8.500000e+00 2.029392e+03 3.894609e-02 1.257623e+03 1.092881e-01 4.320994e+02 0.000000e+00
 1.100000e+01 2.452794e+03 1.073278e-02 1.465476e+03 5.586954e-02 2.774743e+02 0.000000e+00
 1.350000e+01 2.665326e+03 2.833665e-03 1.581399e+03 1.370843e-02 2.201014e+02 0.000000e+00
 1.600000e+01 2.796574e+03 7.688709e-04 1.650776e+03 2.397811e-03 1.991084e+02 0.000000e+00
 1.850000e+01 2.883924e+03 2.175320e-04 1.693551e+03 4.176889e-04 1.869896e+02 0.000000e+00
 2.100000e+01 2.942391e+03 6.455763e-05 1.720153e+03 9.823336e-05 1.786907e+02 0.000000e+00
 2.350000e+01 2.981559e+03 1.993729e-05 1.735874e+03 3.514425e-05 1.693113e+02 0.000000e+00
 2.600000e+01 3.009449e+03 6.416671e-06 1.745046e+03 1.604768e-05 1.595992e+02 0.000000e+00
 2.850000e+01 3.030319e+03 2.146785e-06 1.749794e+03 6.937079e-06 1.494963e+02 0.000000e+00
 3.100000e+01 3.044797e+03 7.431586e-07 1.750848e+03 2.486993e-06 1.401586e+02 0.000000e+00
 3.350000e+01 3.053451e+03 2.661422e-07 1.749386e+03 7.568805e-07 1.316610e+02 0.000000e+00
 3.600000e+01 3.057010e+03 9.832134e-08 1.746329e+03 2.134465e-07 1.241029e+02 0.000000e+00
 3.850000e+01 3.055683e+03 3.737810e-08 1.741956e+03 6.148611e-08 1.171505e+02 0.000000e+00
 4.100000e+01 3.049887e+03 1.438755e-08 1.736479e+03 1.899079e-08 1.142279e+02 0.000000e+00
