# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 2.528262e-05 1.038820e-17 2.528262e-05 1.783074e-11 1.363004e-06 0.000000e+00
 3.500000e+00 8.704870e+01 3.278890e-02 8.704870e+01 3.860858e-02 5.139936e+01 0.000000e+00
 6.000000e+00 7.380840e+02 3.013960e-01 7.380840e+02 2.532759e-01 3.162539e+02 0.000000e+00
 8.500000e+00 1.182429e+03 1.241654e-01 1.182429e+03 2.636068e-01 2.701061e+02 0.000000e+00
 1.100000e+01 1.416104e+03 3.367466e-02 1.416104e+03 1.746809e-01 1.806490e+02 0.000000e+00
 1.350000e+01 1.548763e+03 8.226231e-03 1.548763e+03 7.957523e-02 1.448945e+02 0.000000e+00
 1.600000e+01 1.629428e+03 2.017224e-03 1.629428e+03 1.942539e-02 1.371876e+02 0.000000e+00
 1.850000e+01 1.680219e+03 5.169472e-04 1.680219e+03 3.194875e-03 1.314709e+02 0.000000e+00
 2.100000e+01 1.712777e+03 1.378636e-04 1.712777e+03 5.451955e-04 1.282356e+02 0.000000e+00
 2.350000e+01 1.733281e+03 3.886236e-05 1.733281e+03 1.446502e-04 1.227452e+02 0.000000e+00
 2.600000e+01 1.746387e+03 1.148247e-05 1.746387e+03 5.916183e-05 1.165162e+02 0.000000e+00
 2.850000e+01 1.754134e+03 3.562688e-06 1.754134e+03 2.889162e-05 1.097637e+02 0.000000e+00
 3.100000e+01 1.757608e+03 1.142754e-06 1.757608e+03 1.327606e-05 1.036495e+02 0.000000e+00
 3.350000e+01 1.758294e+03 3.809674e-07 1.758294e+03 4.949954e-06 9.791193e+01 0.000000e+00
 3.600000e+01 1.757063e+03 1.314391e-07 1.757063e+03 1.477645e-06 9.251599e+01 0.000000e+00
 3.850000e+01 1.754183e+03 4.731219e-08 1.754183e+03 4.057252e-07 8.711509e+01 0.000000e+00
 4.100000e+01 1.749996e+03 1.739300e-08 1.749996e+03 1.165639e-07 8.234939e+01 0.000000e+00
