# Reaction        (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)   (x,Ad)   (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)               
 1.000000e+00 1.363004e-06 2.388899e-05 3.060968e-08 1.038820e-17 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 5.143214e+01 3.154036e+01 3.991759e+00 3.344661e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.237865e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.004768e-20 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 3.165553e+02 2.496614e+02 6.082528e+01 1.141198e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.096474e+02 2.245393e-05 0.000000e+00 0.000000e+00 0.000000e+00 9.622257e-13 1.141436e-06 0.000000e+00 5.695529e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 2.702303e+02 2.965877e+02 1.040461e+02 5.684916e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.052713e+02 3.183865e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.201647e-03 2.489464e-02 0.000000e+00 2.193715e-10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 1.806826e+02 2.460740e+02 1.020502e+02 1.093058e+01 0.000000e+00 0.000000e+00 2.229554e+01 8.343433e+02 1.763833e+01 0.000000e+00 0.000000e+00 0.000000e+00 4.153252e-01 1.499632e+00 1.070544e-19 3.703479e-06 5.689214e-11 0.000000e+00 0.000000e+00 0.000000e+00 1.118630e-29 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 1.449027e+02 2.249352e+02 5.794174e+01 1.724082e+01 0.000000e+00 0.000000e+00 1.335821e+02 8.821757e+02 7.548802e+01 4.753051e-05 0.000000e+00 0.000000e+00 6.323379e+00 6.091211e+00 5.748345e-04 1.806859e-03 1.235945e-04 0.000000e+00 0.000000e+00 0.000000e+00 1.239741e-09 2.020522e-15 0.000000e+00 0.000000e+00
 1.600000e+01 1.371896e+02 2.214702e+02 2.766316e+01 2.344051e+01 0.000000e+00 0.000000e+00 1.961093e+02 8.497440e+02 1.353501e+02 7.381639e-01 0.000000e+00 0.000000e+00 2.262756e+01 1.445669e+01 4.539397e-01 9.865162e-02 2.201946e-02 0.000000e+00 4.083488e-02 0.000000e+00 5.774196e-04 3.231578e-03 0.000000e+00 0.000000e+00
 1.850000e+01 1.314715e+02 2.190495e+02 1.497726e+01 2.312782e+01 0.000000e+00 0.000000e+00 2.036029e+02 8.265805e+02 1.659116e+02 7.540449e+00 0.000000e+00 0.000000e+00 3.806079e+01 2.477407e+01 2.050555e+00 1.006534e+00 1.136253e-01 0.000000e+00 1.922878e+01 7.831891e-06 2.140325e-01 2.505699e+00 0.000000e+00 0.000000e+00
 2.100000e+01 1.282357e+02 2.200999e+02 9.858170e+00 1.996266e+01 0.000000e+00 0.000000e+00 1.559391e+02 7.704169e+02 1.634546e+02 1.804608e+01 0.000000e+00 0.000000e+00 4.554747e+01 3.205706e+01 3.645357e+00 3.348684e+00 3.119921e-01 1.764184e-02 1.139798e+02 9.833115e-03 4.461020e+00 2.338421e+01 0.000000e+00 0.000000e+00
 2.350000e+01 1.227453e+02 2.137398e+02 7.509434e+00 1.678010e+01 0.000000e+00 0.000000e+00 1.107151e+02 6.739866e+02 1.376757e+02 2.628132e+01 0.000000e+00 0.000000e+00 4.445583e+01 3.430167e+01 6.312156e+00 6.205742e+00 9.415192e-01 9.113550e-01 2.542711e+02 9.029219e-01 2.213692e+01 5.340390e+01 0.000000e+00 0.000000e+00
 2.600000e+01 1.165162e+02 2.064750e+02 6.079325e+00 1.412074e+01 0.000000e+00 0.000000e+00 8.196761e+01 5.963035e+02 1.022577e+02 3.123478e+01 0.000000e+00 0.000000e+00 4.002029e+01 3.110329e+01 9.369721e+00 8.210619e+00 2.333027e+00 5.091408e+00 3.568165e+02 9.318035e+00 4.838034e+01 8.057241e+01 0.000000e+00 0.000000e+00
 2.850000e+01 1.097637e+02 1.976385e+02 5.035759e+00 1.190733e+01 0.000000e+00 0.000000e+00 6.819409e+01 5.485530e+02 7.244294e+01 3.309412e+01 0.000000e+00 0.000000e+00 3.535031e+01 2.577488e+01 1.191209e+01 8.583230e+00 4.002346e+00 1.281867e+01 3.981668e+02 2.656310e+01 7.344415e+01 1.076667e+02 0.000000e+00 0.000000e+00
 3.100000e+01 1.036495e+02 1.888194e+02 4.298939e+00 1.008504e+01 0.000000e+00 0.000000e+00 6.206518e+01 5.206171e+02 5.285877e+01 3.124579e+01 0.000000e+00 0.000000e+00 3.294079e+01 2.112276e+01 1.311004e+01 7.332809e+00 5.296878e+00 1.832567e+01 4.017103e+02 4.233907e+01 9.457088e+01 1.293830e+02 0.000000e+00 0.000000e+00
 3.350000e+01 9.791193e+01 1.799448e+02 3.656517e+00 8.611040e+00 0.000000e+00 0.000000e+00 5.894154e+01 5.005586e+02 4.177263e+01 2.726422e+01 0.000000e+00 0.000000e+00 3.165980e+01 1.805213e+01 1.252544e+01 5.315335e+00 5.927203e+00 1.891209e+01 3.838858e+02 5.106411e+01 1.096520e+02 1.433618e+02 3.646301e-08 0.000000e+00
 3.600000e+01 9.251599e+01 1.710632e+02 3.131051e+00 7.569421e+00 0.000000e+00 0.000000e+00 5.673680e+01 4.827796e+02 3.564276e+01 2.317482e+01 0.000000e+00 0.000000e+00 3.085164e+01 1.619284e+01 1.099256e+01 3.566869e+00 5.545486e+00 1.640327e+01 3.527452e+02 5.156164e+01 1.178643e+02 1.466973e+02 7.855895e-04 0.000000e+00
 3.850000e+01 8.711509e+01 1.620234e+02 2.696272e+00 6.564414e+00 0.000000e+00 0.000000e+00 5.372285e+01 4.663270e+02 3.172086e+01 1.967140e+01 0.000000e+00 0.000000e+00 2.977196e+01 1.491591e+01 9.424889e+00 2.369885e+00 4.712512e+00 1.340517e+01 3.206268e+02 4.669642e+01 1.160312e+02 1.420295e+02 2.056531e-02 0.000000e+00
 4.100000e+01 8.234939e+01 1.540450e+02 2.333027e+00 5.751429e+00 0.000000e+00 0.000000e+00 5.156905e+01 4.495370e+02 2.976661e+01 1.692880e+01 0.000000e+00 0.000000e+00 2.908903e+01 1.409744e+01 8.128871e+00 1.602731e+00 3.839398e+00 1.103307e+01 2.949380e+02 3.849378e+01 1.059230e+02 1.345568e+02 1.166759e-01 0.000000e+00
