# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 1.350962e-05 2.574476e-19 1.350962e-05 1.955915e-12 1.182964e-05 0.000000e+00
 3.500000e+00 8.291276e+01 2.551585e-03 8.122378e+01 6.293152e-03 7.318269e+01 0.000000e+00
 6.000000e+00 9.823051e+02 2.890627e-02 7.501361e+02 3.202884e-02 4.393941e+02 0.000000e+00
 8.500000e+00 1.928598e+03 1.049305e-02 1.216982e+03 2.452268e-02 3.184964e+02 0.000000e+00
 1.100000e+01 2.444250e+03 2.630369e-03 1.464040e+03 1.024623e-02 2.412913e+02 0.000000e+00
 1.350000e+01 2.703804e+03 6.453145e-04 1.604565e+03 2.649491e-03 2.226314e+02 0.000000e+00
 1.600000e+01 2.862132e+03 1.645625e-04 1.689888e+03 4.747774e-04 2.145623e+02 0.000000e+00
 1.850000e+01 2.969475e+03 4.448774e-05 1.743923e+03 8.101499e-05 2.068813e+02 0.000000e+00
 2.100000e+01 3.042238e+03 1.256267e-05 1.778877e+03 1.797879e-05 1.995798e+02 0.000000e+00
 2.350000e+01 3.091722e+03 3.770103e-06 1.801745e+03 5.544795e-06 1.879700e+02 0.000000e+00
 2.600000e+01 3.126913e+03 1.175845e-06 1.816397e+03 2.079819e-06 1.774167e+02 0.000000e+00
 2.850000e+01 3.152492e+03 3.837491e-07 1.824802e+03 8.088580e-07 1.670235e+02 0.000000e+00
 3.100000e+01 3.171671e+03 1.294937e-07 1.829138e+03 2.792427e-07 1.578041e+02 0.000000e+00
 3.350000e+01 3.185981e+03 4.485903e-08 1.830677e+03 7.961072e-08 1.536328e+02 0.000000e+00
 3.600000e+01 3.195384e+03 1.596442e-08 1.829854e+03 2.142283e-08 1.451745e+02 0.000000e+00
 3.850000e+01 3.200015e+03 5.932109e-09 1.827242e+03 6.047705e-09 1.372887e+02 0.000000e+00
 4.100000e+01 3.200438e+03 2.266508e-09 1.823401e+03 1.854672e-09 1.295000e+02 0.000000e+00
