#             0.000000e+00 4.083000e-02 2.434200e-01 2.878100e-01 3.901200e-01 4.261800e-01 5.483100e-01 6.374600e-01 6.448200e-01 6.749600e-01 6.983100e-01 7.277200e-01 7.559500e-01 9.153300e-01 9.827000e-01 1.023020e+00 1.051600e+00 1.077200e+00 1.141660e+00 1.144100e+00 1.170000e+00 1.221510e+00 1.248650e+00 1.285030e+00 1.346300e+00 1.354300e+00 1.367000e+00 1.370480e+00 1.373900e+00 1.395000e+00 1.403300e+00 1.410200e+00 1.416100e+00 1.427500e+00 1.429570e+00 1.433000e+00 1.485720e+00 1.504900e+00 1.507300e+00 1.511200e+00 1.525910e+00 1.526910e+00
 1.000000e+00 1.259391e-10 1.688239e-10 1.631227e-10 1.618447e-10 1.268652e-10 1.565924e-10 1.151854e-10 1.133471e-10 1.512524e-10 1.484142e-10 1.476374e-10 1.487284e-10 1.478649e-10 1.429592e-10 1.381106e-10 1.396249e-10 1.086708e-10 1.379445e-10 1.359448e-10 1.358691e-10 1.350658e-10 1.301046e-10 1.002694e-10 1.279889e-10 1.296110e-10 9.811644e-11 1.289729e-10 6.284234e-11 9.769638e-11 1.342488e-10 1.278555e-10 1.019617e-10 1.336815e-10 1.232805e-10 9.650408e-11 1.269430e-10 1.213744e-10 9.489320e-11 1.312343e-10 1.245484e-10 9.444453e-11 2.324680e-05
 3.500000e+00 7.130256e-02 9.962547e-02 9.814067e-02 9.780730e-02 9.301081e-02 1.032569e-01 6.859921e-02 6.812547e-02 9.500941e-02 1.008570e-01 1.006264e-01 9.432745e-02 9.409222e-02 9.273439e-02 9.773574e-02 9.178695e-02 6.534828e-02 9.130072e-02 9.071363e-02 9.069123e-02 9.045250e-02 9.517915e-02 8.394558e-02 9.447730e-02 8.878531e-02 6.389270e-02 8.858461e-02 6.359389e-02 6.376523e-02 8.818786e-02 8.823007e-02 6.324357e-02 8.799046e-02 9.286754e-02 6.339948e-02 8.793753e-02 9.219509e-02 6.289575e-02 8.712539e-02 8.715654e-02 6.275342e-02 6.946960e+01
 6.000000e+00 9.806304e-02 1.474315e-01 1.454812e-01 1.450504e-01 1.860947e-01 1.749118e-01 9.463560e-02 9.406497e-02 1.415415e-01 1.717782e-01 1.714819e-01 1.407156e-01 1.404334e-01 1.388309e-01 1.678413e-01 1.377395e-01 9.097391e-02 1.371876e-01 1.365287e-01 1.365038e-01 1.362382e-01 1.647407e-01 1.736696e-01 1.639093e-01 1.344198e-01 8.934263e-02 1.342050e-01 1.651328e-01 8.921014e-02 1.352960e-01 1.338276e-01 8.860004e-02 1.350731e-01 1.620343e-01 8.883283e-02 1.335183e-01 1.612639e-01 8.831990e-02 1.341061e-01 1.327009e-01 8.817635e-02 3.840921e+02
 8.500000e+00 2.533708e-02 4.056333e-02 4.003912e-02 3.992355e-02 6.362563e-02 5.312241e-02 2.444233e-02 2.429470e-02 3.898434e-02 5.225464e-02 5.217255e-02 3.876374e-02 3.868840e-02 3.826097e-02 5.116384e-02 3.797014e-02 2.345561e-02 3.782321e-02 3.764787e-02 3.764122e-02 3.757059e-02 5.030394e-02 6.001047e-02 5.007324e-02 3.708736e-02 2.308400e-02 3.703034e-02 6.656879e-02 2.305029e-02 3.733216e-02 3.693020e-02 2.284754e-02 3.727333e-02 4.955278e-02 2.295436e-02 3.684814e-02 4.933890e-02 2.282413e-02 3.701826e-02 3.663148e-02 2.278772e-02 2.808729e+02
 1.100000e+01 5.019882e-03 8.406826e-03 8.298390e-03 8.274674e-03 1.523000e-02 1.176521e-02 4.840232e-03 4.811249e-03 8.084449e-03 1.158029e-02 1.156294e-02 8.040391e-03 8.025396e-03 7.940803e-03 1.135173e-02 7.883698e-03 4.646892e-03 7.854980e-03 7.820820e-03 7.819527e-03 7.805804e-03 1.117432e-02 1.443743e-02 1.112710e-02 7.712401e-03 4.579998e-03 7.701434e-03 1.761945e-02 4.573710e-03 7.733733e-03 7.682201e-03 4.532158e-03 7.722290e-03 1.102110e-02 4.555856e-03 7.666465e-03 1.097775e-02 4.531711e-03 7.672845e-03 7.625022e-03 4.524979e-03 1.982979e+02
 1.350000e+01 9.998076e-04 1.726269e-03 1.703430e-03 1.698425e-03 3.436436e-03 2.522808e-03 9.632542e-04 9.573282e-04 1.658207e-03 2.481680e-03 2.477822e-03 1.648885e-03 1.645712e-03 1.627826e-03 2.430897e-03 1.615767e-03 9.232730e-04 1.609709e-03 1.602511e-03 1.602238e-03 1.599349e-03 2.391628e-03 3.254658e-03 2.381209e-03 1.579727e-03 9.100684e-04 1.577429e-03 4.242759e-03 9.087889e-04 1.583877e-03 1.573402e-03 8.999909e-04 1.581488e-03 2.357891e-03 9.051592e-04 1.570110e-03 2.348383e-03 9.002584e-04 1.571180e-03 1.561455e-03 8.988938e-04 1.764538e+02
 1.600000e+01 2.083787e-04 3.681620e-04 3.637897e-04 3.628279e-04 7.888182e-04 5.569011e-04 2.015698e-04 2.004536e-04 3.550454e-04 5.486187e-04 5.478376e-04 3.532265e-04 3.526061e-04 3.490947e-04 5.382766e-04 3.467139e-04 1.937955e-04 3.455136e-04 3.440837e-04 3.440295e-04 3.434543e-04 5.301837e-04 7.500034e-04 5.280220e-04 3.395304e-04 1.913960e-04 3.390687e-04 1.027155e-03 1.911466e-04 3.406240e-04 3.382587e-04 1.893034e-04 3.401465e-04 5.231610e-04 1.904378e-04 3.375956e-04 5.211698e-04 1.894779e-04 3.380805e-04 3.358479e-04 1.892100e-04 1.692895e+02
 1.850000e+01 4.549619e-05 8.183055e-05 8.096679e-05 8.077743e-05 1.859835e-04 1.271292e-04 4.418413e-05 4.397068e-05 7.925241e-05 1.254673e-04 1.253109e-04 7.889760e-05 7.877670e-05 7.809341e-05 1.234019e-04 7.763093e-05 4.271534e-05 7.739799e-05 7.712061e-05 7.711010e-05 7.699857e-05 1.217905e-04 1.779284e-04 1.213604e-04 7.623812e-05 4.224949e-05 7.614868e-05 2.531692e-04 4.220226e-05 7.650991e-05 7.599176e-05 4.186217e-05 7.641757e-05 1.203936e-04 4.206802e-05 7.586330e-05 1.199976e-04 4.188622e-05 7.601803e-05 7.552471e-05 4.183548e-05 1.646906e+02
 2.100000e+01 1.054968e-05 1.922600e-05 1.903265e-05 1.899040e-05 4.563251e-05 3.043132e-05 1.026185e-05 1.021542e-05 1.865201e-05 3.005555e-05 3.002036e-05 1.857378e-05 1.854717e-05 1.839721e-05 2.959269e-05 1.829613e-05 9.948359e-06 1.824532e-05 1.818497e-05 1.818269e-05 1.815846e-05 2.923479e-05 4.377720e-05 2.913978e-05 1.799381e-05 9.845506e-06 1.797451e-05 6.407538e-05 9.835472e-06 1.804647e-05 1.794067e-05 9.765920e-06 1.802654e-05 2.892693e-05 9.806992e-06 1.791300e-05 2.884004e-05 9.768503e-06 1.794046e-05 1.784021e-05 9.757778e-06 1.579136e+02
 2.350000e+01 2.545847e-06 4.684710e-06 4.638922e-06 4.628916e-06 1.148659e-05 7.517025e-06 2.478770e-06 2.467952e-06 4.548806e-06 7.426224e-06 7.417725e-06 4.530298e-06 4.524004e-06 4.488549e-06 7.314535e-06 4.464670e-06 2.406613e-06 4.452680e-06 4.438437e-06 4.437898e-06 4.432182e-06 7.228363e-06 1.102702e-05 7.205518e-06 4.393371e-06 2.381924e-06 4.388825e-06 1.648620e-05 2.379596e-06 4.404513e-06 4.380860e-06 2.364153e-06 4.399821e-06 7.154395e-06 2.372991e-06 4.374349e-06 7.133551e-06 2.364071e-06 4.379575e-06 4.357228e-06 2.361587e-06 1.515493e+02
