# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 2.895351e-05 2.279217e-18 2.895351e-05 7.342248e-12 2.325204e-05 0.000000e+00
 3.500000e+00 9.768424e+01 1.017197e-02 9.528937e+01 1.712133e-02 7.296118e+01 0.000000e+00
 6.000000e+00 1.013186e+03 1.224781e-01 7.653303e+02 1.017191e-01 3.894996e+02 0.000000e+00
 8.500000e+00 1.920865e+03 5.345743e-02 1.208893e+03 9.369375e-02 2.824127e+02 0.000000e+00
 1.100000e+01 2.404165e+03 1.466908e-02 1.441068e+03 5.506723e-02 1.986255e+02 0.000000e+00
 1.350000e+01 2.647273e+03 3.806220e-03 1.572509e+03 2.050101e-02 1.765220e+02 0.000000e+00
 1.600000e+01 2.795747e+03 1.014322e-03 1.652167e+03 4.522880e-03 1.693042e+02 0.000000e+00
 1.850000e+01 2.895883e+03 2.825057e-04 1.702131e+03 7.720940e-04 1.646939e+02 0.000000e+00
 2.100000e+01 2.963760e+03 8.279584e-05 1.733997e+03 1.560949e-04 1.579144e+02 0.000000e+00
 2.350000e+01 3.009608e+03 2.490225e-05 1.754074e+03 4.350182e-05 1.515495e+02 0.000000e+00
 2.600000e+01 3.042511e+03 7.830206e-06 1.766869e+03 1.665403e-05 1.496200e+02 0.000000e+00
 2.850000e+01 3.066985e+03 2.577274e-06 1.774170e+03 7.445559e-06 1.421300e+02 0.000000e+00
 3.100000e+01 3.084744e+03 8.788200e-07 1.777280e+03 3.095259e-06 1.349024e+02 0.000000e+00
 3.350000e+01 3.097194e+03 3.100718e-07 1.777735e+03 1.066267e-06 1.279885e+02 0.000000e+00
 3.600000e+01 3.104762e+03 1.128578e-07 1.776263e+03 3.133291e-07 1.213770e+02 0.000000e+00
 3.850000e+01 3.107290e+03 4.274380e-08 1.773123e+03 8.928439e-08 1.147086e+02 0.000000e+00
 4.100000e+01 3.105202e+03 1.646886e-08 1.768713e+03 2.676146e-08 1.088111e+02 0.000000e+00
