natNi(d,x)61Cu					
 					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(mCi/uAh)	(MBq/uA)
0.0	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.1	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.2	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.3	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.4	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.5	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.6	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.7	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.8	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
0.9	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.0	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.1	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.2	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.3	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.4	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.5	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.6	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.7	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.8	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
1.9	0.0	0.00	6.74E-03	1.82E-04	6.08E-03
2.0	0.65	0.08	6.74E-03	1.82E-04	6.08E-03
2.1	0.81	0.11	1.54E-02	4.17E-04	1.39E-02
2.2	1.01	0.13	2.65E-02	7.16E-04	2.39E-02
2.3	1.28	0.17	4.09E-02	1.11E-03	3.69E-02
2.4	1.66	0.22	5.99E-02	1.62E-03	5.41E-02
2.5	2.18	0.26	8.56E-02	2.31E-03	7.72E-02
2.6	2.87	0.34	1.20E-01	3.25E-03	1.08E-01
2.7	3.76	0.44	1.66E-01	4.50E-03	1.50E-01
2.8	4.87	0.57	2.28E-01	6.15E-03	2.06E-01
2.9	6.23	0.73	3.07E-01	8.30E-03	2.77E-01
3.0	7.86	0.92	4.09E-01	1.11E-02	3.70E-01
3.1	9.76	1.15	5.39E-01	1.46E-02	4.87E-01
3.2	11.92	1.40	7.01E-01	1.89E-02	6.33E-01
3.3	14.27	1.68	8.98E-01	2.43E-02	8.10E-01
3.4	16.79	1.98	1.13E+00	3.06E-02	1.02E+00
3.5	19.43	2.29	1.41E+00	3.81E-02	1.27E+00
3.6	22.14	2.61	1.73E+00	4.69E-02	1.57E+00
3.7	24.88	2.93	2.10E+00	5.68E-02	1.90E+00
3.8	27.60	3.25	2.52E+00	6.81E-02	2.27E+00
3.9	30.27	3.56	2.98E+00	8.05E-02	2.69E+00
4.0	32.84	3.54	3.49E+00	9.43E-02	3.15E+00
4.1	35.28	3.80	4.04E+00	1.09E-01	3.65E+00
4.2	37.58	4.05	4.64E+00	1.25E-01	4.19E+00
4.3	39.75	4.28	5.29E+00	1.43E-01	4.77E+00
4.4	41.79	4.50	5.98E+00	1.62E-01	5.39E+00
