# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 3.500000e+00 1.635521e-04 7.762257e-20 1.635521e-04 5.873290e-11 1.634139e-04 0.000000e+00
 6.000000e+00 2.939049e+00 6.497415e-13 2.937289e+00 1.921034e-07 2.813597e+00 0.000000e+00
 8.500000e+00 1.660233e+02 4.778575e-08 1.595963e+02 1.886095e-03 3.775817e+01 0.000000e+00
 1.100000e+01 9.179619e+02 2.730141e-08 7.386576e+02 1.872979e-03 1.107693e+02 0.000000e+00
 1.350000e+01 1.947611e+03 2.702776e-09 1.301046e+03 6.830288e-04 1.642499e+02 0.000000e+00
 1.600000e+01 2.793462e+03 1.997559e-10 1.704797e+03 1.662521e-04 1.983235e+02 0.000000e+00
 1.850000e+01 3.347842e+03 1.484657e-11 1.992137e+03 3.866142e-05 2.230632e+02 0.000000e+00
 2.100000e+01 3.725579e+03 1.188487e-12 2.202404e+03 1.089351e-05 2.371633e+02 0.000000e+00
 2.350000e+01 4.016425e+03 1.030086e-13 2.360810e+03 3.068116e-06 2.496722e+02 0.000000e+00
 2.600000e+01 4.246865e+03 9.724753e-15 2.482554e+03 8.223400e-07 2.479459e+02 0.000000e+00
 2.850000e+01 4.427576e+03 9.942145e-16 2.577864e+03 1.848952e-07 2.460264e+02 0.000000e+00
 3.100000e+01 4.570741e+03 1.081376e-16 2.653582e+03 3.634803e-08 2.479053e+02 0.000000e+00
 3.350000e+01 4.686630e+03 1.280491e-17 2.714377e+03 8.242058e-09 2.387391e+02 0.000000e+00
 3.600000e+01 4.781641e+03 1.605643e-18 2.763594e+03 2.140321e-09 2.314875e+02 0.000000e+00
 3.850000e+01 4.859587e+03 2.124721e-19 2.803614e+03 5.620741e-10 2.281694e+02 0.000000e+00
 4.100000e+01 4.923605e+03 2.987055e-20 2.836304e+03 1.458027e-10 2.183545e+02 0.000000e+00
