# d + 191Ir: Production of 188Re - Ground state
# Q-value    = 5.72988E+00 mass= 187.958111
# E-threshold= 0.00000E+00
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 3.48626E-26 0.00000E+00
 4.00000E+00 1.00716E-20 0.00000E+00
 5.00000E+00 1.88789E-17 0.00000E+00
 6.00000E+00 4.43428E-15 0.00000E+00
 7.00000E+00 2.55560E-12 8.12544E-01
 8.00000E+00 5.59456E-11 7.39772E-01
 9.00000E+00 7.33320E-10 7.12870E-01
 1.00000E+01 5.89422E-09 7.15915E-01
 1.10000E+01 2.10483E-08 7.20233E-01
 1.20000E+01 5.54869E-08 7.18193E-01
 1.30000E+01 1.26013E-07 7.14196E-01
 1.40000E+01 2.66693E-07 7.02377E-01
 1.50000E+01 5.08199E-07 6.84744E-01
 1.60000E+01 9.02913E-07 6.64095E-01
 1.70000E+01 1.54029E-06 6.38326E-01
 1.80000E+01 2.48937E-06 6.10920E-01
 1.90000E+01 3.87162E-06 5.82466E-01
 2.00000E+01 5.80393E-06 5.52498E-01
 2.20000E+01 1.21364E-05 4.89388E-01
 2.40000E+01 2.27238E-05 4.26487E-01
 2.60000E+01 3.87149E-05 3.75273E-01
 2.80000E+01 5.88485E-05 3.26962E-01
 3.00000E+01 8.31380E-05 2.94804E-01
 3.50000E+01 1.40841E-04 2.26743E-01
 4.00000E+01 1.71766E-04 1.79246E-01
 4.50000E+01 1.71882E-04 1.51393E-01
 5.00000E+01 1.56342E-04 1.30943E-01
 5.50000E+01 4.96226E-04 2.90459E-01
 6.00000E+01 2.58618E-03 4.76562E-01
 6.50000E+01 9.44103E-03 5.11429E-01
 7.00000E+01 2.35288E-02 5.10248E-01
 7.50000E+01 4.29876E-02 5.04225E-01
 8.00000E+01 6.73661E-02 5.00992E-01
 9.00000E+01 1.21134E-01 4.89805E-01
 1.00000E+02 1.83043E-01 4.89872E-01
 1.10000E+02 2.39788E-01 4.80678E-01
 1.20000E+02 2.98428E-01 4.81575E-01
 1.30000E+02 3.56331E-01 4.81129E-01
 1.40000E+02 3.93852E-01 4.75590E-01
 1.50000E+02 4.44679E-01 4.75537E-01
 1.60000E+02 4.88577E-01 4.78317E-01
 1.80000E+02 5.08826E-01 4.73076E-01
 2.00000E+02 5.10266E-01 4.72580E-01
