# d + 191Ir: Production of 190Ir - Level  5     0.37815 MeV
# Q-value    =-2.14744E+00 mass= 189.960543
# E-threshold= 2.17008E+00
# # energies =    54
#     E          xs      Branching
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 8.32066E-13 1.24259E-01
 7.00000E+00 9.77492E-10 6.83015E-02
 8.00000E+00 5.37988E-07 1.09249E-01
 9.00000E+00 5.25138E-05 1.34793E-01
 1.00000E+01 1.52576E-03 2.13179E-01
 1.10000E+01 1.29640E-02 2.04446E-01
 1.20000E+01 5.68624E-02 1.91203E-01
 1.30000E+01 1.50356E-01 1.75887E-01
 1.40000E+01 2.91966E-01 1.65776E-01
 1.50000E+01 4.90943E-01 1.61542E-01
 1.60000E+01 8.10998E-01 1.63042E-01
 1.70000E+01 1.41394E+00 1.70451E-01
 1.80000E+01 2.34332E+00 1.84945E-01
 1.90000E+01 3.91789E+00 1.99838E-01
 2.00000E+01 6.28755E+00 2.21647E-01
 2.20000E+01 1.44149E+01 2.62058E-01
 2.40000E+01 2.78717E+01 2.94446E-01
 2.60000E+01 4.78556E+01 3.24454E-01
 2.80000E+01 7.33482E+01 3.49411E-01
 3.00000E+01 1.02765E+02 3.73021E-01
 3.50000E+01 1.79807E+02 4.23101E-01
 4.00000E+01 2.34318E+02 4.67110E-01
 4.50000E+01 2.49771E+02 5.03261E-01
 5.00000E+01 2.32709E+02 5.31206E-01
 5.50000E+01 1.94428E+02 5.47951E-01
 6.00000E+01 1.51635E+02 5.51540E-01
 6.50000E+01 1.14293E+02 5.44485E-01
 7.00000E+01 8.47502E+01 5.23152E-01
 7.50000E+01 6.29317E+01 4.94044E-01
 8.00000E+01 4.73928E+01 4.55224E-01
 9.00000E+01 2.90667E+01 3.78073E-01
 1.00000E+02 2.03143E+01 3.12717E-01
 1.10000E+02 1.61137E+01 2.71296E-01
 1.20000E+02 1.40301E+01 2.44733E-01
 1.30000E+02 1.25772E+01 2.24919E-01
 1.40000E+02 1.18433E+01 2.12577E-01
 1.50000E+02 1.12180E+01 2.01609E-01
 1.60000E+02 1.07131E+01 1.93401E-01
 1.80000E+02 9.27254E+00 1.80983E-01
 2.00000E+02 7.98006E+00 1.72144E-01
