# d + 193Ir: Production of 194Ir - Ground state
# Q-value    = 3.84222E+00 mass= 193.965073
# E-threshold= 0.00000E+00
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 2.62986E-11 9.33429E-01
 3.00000E+00 2.54591E-06 9.02263E-01
 4.00000E+00 1.10908E-03 8.70533E-01
 5.00000E+00 4.15159E-02 8.40665E-01
 6.00000E+00 5.65225E-01 8.11911E-01
 7.00000E+00 4.12289E+00 7.87789E-01
 8.00000E+00 1.78351E+01 7.60554E-01
 9.00000E+00 4.74060E+01 7.25145E-01
 1.00000E+01 8.24978E+01 6.77481E-01
 1.10000E+01 7.54262E+01 6.28269E-01
 1.20000E+01 6.36907E+01 5.77888E-01
 1.30000E+01 5.14412E+01 5.22009E-01
 1.40000E+01 4.11689E+01 4.71080E-01
 1.50000E+01 3.38338E+01 4.33102E-01
 1.60000E+01 2.72995E+01 3.95892E-01
 1.70000E+01 2.25068E+01 3.68046E-01
 1.80000E+01 1.87150E+01 3.44395E-01
 1.90000E+01 1.58336E+01 3.28393E-01
 2.00000E+01 1.35233E+01 3.15043E-01
 2.20000E+01 1.03849E+01 3.04624E-01
 2.40000E+01 8.42333E+00 3.09238E-01
 2.60000E+01 6.89873E+00 3.10331E-01
 2.80000E+01 5.80980E+00 3.18194E-01
 3.00000E+01 5.12110E+00 3.38038E-01
 3.50000E+01 3.89513E+00 4.06194E-01
 4.00000E+01 3.12493E+00 4.73795E-01
 4.50000E+01 2.61101E+00 5.33199E-01
 5.00000E+01 2.24474E+00 5.79105E-01
 5.50000E+01 1.97174E+00 6.11680E-01
 6.00000E+01 1.73182E+00 6.37979E-01
 6.50000E+01 1.56131E+00 6.60307E-01
 7.00000E+01 1.38841E+00 6.70354E-01
 7.50000E+01 1.23982E+00 6.74122E-01
 8.00000E+01 1.15552E+00 6.82920E-01
 9.00000E+01 9.85015E-01 6.93337E-01
 1.00000E+02 8.38474E-01 6.94249E-01
 1.10000E+02 7.38193E-01 6.97933E-01
 1.20000E+02 6.45419E-01 6.97657E-01
 1.30000E+02 5.77835E-01 7.02686E-01
 1.40000E+02 5.22828E-01 7.03567E-01
 1.50000E+02 4.67499E-01 7.04133E-01
 1.60000E+02 4.05788E-01 6.94232E-01
 1.80000E+02 3.29015E-01 7.02802E-01
 2.00000E+02 1.64682E-01 6.17974E-01
