# d + 191Ir: Production of 193Pt - Level  5     0.14978 MeV
# Q-value    = 1.07568E+01 mass= 192.962984
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs      Branching
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 6.01081E-14 4.53222E-01
 3.00000E+00 8.49520E-13 7.87955E-01
 4.00000E+00 7.16657E-10 7.83713E-01
 5.00000E+00 6.58095E-08 7.78433E-01
 6.00000E+00 1.79651E-06 7.74149E-01
 7.00000E+00 2.36128E-05 7.77625E-01
 8.00000E+00 1.85253E-04 7.83070E-01
 9.00000E+00 8.57570E-04 7.91361E-01
 1.00000E+01 2.26065E-03 8.00824E-01
 1.10000E+01 6.68081E-03 7.41747E-01
 1.20000E+01 9.06284E-03 7.57010E-01
 1.30000E+01 9.32481E-03 7.73595E-01
 1.40000E+01 8.01784E-03 7.85981E-01
 1.50000E+01 6.45145E-03 7.90972E-01
 1.60000E+01 5.02748E-03 7.93132E-01
 1.70000E+01 3.89944E-03 7.94861E-01
 1.80000E+01 2.99246E-03 7.95395E-01
 1.90000E+01 2.30777E-03 7.96136E-01
 2.00000E+01 1.84402E-03 7.96395E-01
 2.20000E+01 1.18715E-03 7.88820E-01
 2.40000E+01 8.38302E-04 7.87535E-01
 2.60000E+01 6.30173E-04 7.86961E-01
 2.80000E+01 4.86016E-04 7.87225E-01
 3.00000E+01 3.85702E-04 7.88420E-01
 3.50000E+01 2.50882E-04 7.86575E-01
 4.00000E+01 1.97526E-04 7.74923E-01
 4.50000E+01 1.26518E-04 7.80309E-01
 5.00000E+01 1.04681E-04 7.72722E-01
 5.50000E+01 8.62349E-05 7.81570E-01
 6.00000E+01 8.00211E-05 7.74105E-01
 6.50000E+01 4.96022E-05 7.81670E-01
 7.00000E+01 3.00754E-05 7.76924E-01
 7.50000E+01 3.22086E-05 7.73256E-01
 8.00000E+01 2.82129E-05 7.78787E-01
 9.00000E+01 2.72641E-05 7.79492E-01
 1.00000E+02 2.26655E-05 7.80417E-01
 1.10000E+02 1.56600E-05 7.77942E-01
 1.20000E+02 9.40206E-06 7.77947E-01
 1.30000E+02 5.92247E-06 7.70079E-01
 1.40000E+02 5.43320E-06 7.69709E-01
 1.50000E+02 5.65018E-06 7.69112E-01
 1.60000E+02 5.66071E-06 7.69577E-01
 1.80000E+02 4.73159E-06 7.65418E-01
 2.00000E+02 1.14458E-06 7.50309E-01
