# d + 191Ir: Production of 193Pt - Level  5     0.14978 MeV
# Q-value    = 1.07568E+01 mass= 192.962982
# E-threshold= 0.00000E+00
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 5.99234E-14 4.53237E-01
 3.00000E+00 8.48910E-13 7.88022E-01
 4.00000E+00 7.16147E-10 7.83779E-01
 5.00000E+00 6.57650E-08 7.78493E-01
 6.00000E+00 1.79534E-06 7.74221E-01
 7.00000E+00 2.35978E-05 7.77694E-01
 8.00000E+00 1.85134E-04 7.83160E-01
 9.00000E+00 8.56968E-04 7.91429E-01
 1.00000E+01 2.25867E-03 8.00889E-01
 1.10000E+01 6.67219E-03 7.41806E-01
 1.20000E+01 9.05077E-03 7.57079E-01
 1.30000E+01 9.31192E-03 7.73615E-01
 1.40000E+01 8.00729E-03 7.85998E-01
 1.50000E+01 6.44349E-03 7.90983E-01
 1.60000E+01 5.02166E-03 7.93142E-01
 1.70000E+01 3.89510E-03 7.94878E-01
 1.80000E+01 2.98931E-03 7.95412E-01
 1.90000E+01 2.30541E-03 7.96154E-01
 2.00000E+01 1.84225E-03 7.96422E-01
 2.20000E+01 1.18592E-03 7.88839E-01
 2.40000E+01 8.37403E-04 7.87556E-01
 2.60000E+01 6.29416E-04 7.86975E-01
 2.80000E+01 4.85434E-04 7.87240E-01
 3.00000E+01 3.85223E-04 7.88431E-01
 3.50000E+01 2.50550E-04 7.86588E-01
 4.00000E+01 1.97296E-04 7.74932E-01
 4.50000E+01 1.26353E-04 7.80322E-01
 5.00000E+01 1.04558E-04 7.72727E-01
 5.50000E+01 8.61242E-05 7.81586E-01
 6.00000E+01 7.99262E-05 7.74110E-01
 6.50000E+01 4.95401E-05 7.81686E-01
 7.00000E+01 3.00322E-05 7.76924E-01
 7.50000E+01 3.21677E-05 7.73265E-01
 8.00000E+01 2.81727E-05 7.78793E-01
 9.00000E+01 2.72252E-05 7.79496E-01
 1.00000E+02 2.26343E-05 7.80436E-01
 1.10000E+02 1.56386E-05 7.77949E-01
 1.20000E+02 9.38994E-06 7.77962E-01
 1.30000E+02 5.91462E-06 7.70087E-01
 1.40000E+02 5.42621E-06 7.69720E-01
 1.50000E+02 5.64320E-06 7.69130E-01
 1.60000E+02 5.65385E-06 7.69595E-01
 1.80000E+02 4.72609E-06 7.65430E-01
 2.00000E+02 1.14264E-06 7.50276E-01
