# Reaction        (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)   (x,Ad)   (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)               
 3.500000e+00 1.711676e-04 3.467972e-08 1.995673e-08 1.489276e-19 0.000000e+00 0.000000e+00 1.718855e-07 0.000000e+00 1.319662e-14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.506310e-26 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 2.830973e+00 2.206660e-02 1.208083e-02 1.399995e-08 0.000000e+00 0.000000e+00 1.916217e-01 1.218791e-08 3.839086e-07 0.000000e+00 0.000000e+00 0.000000e+00 1.951600e-31 2.950301e-23 0.000000e+00 8.403910e-19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 2.437741e+01 1.544439e+00 2.270517e-01 4.641966e-04 0.000000e+00 0.000000e+00 1.380873e+02 1.085254e-03 1.870100e-04 0.000000e+00 0.000000e+00 0.000000e+00 3.631885e-18 2.520702e-17 0.000000e+00 3.607882e-15 4.600321e-26 0.000000e+00 0.000000e+00 1.025186e-12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 8.400578e+01 1.833663e+01 8.927314e-01 4.438635e-02 0.000000e+00 0.000000e+00 6.186942e+02 3.130480e-01 1.134014e-02 1.770228e-10 0.000000e+00 0.000000e+00 9.187701e-13 1.746602e-13 1.999089e-22 1.024704e-12 9.501602e-18 2.847066e+01 0.000000e+00 1.513320e-07 2.473845e-22 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 1.367170e+02 5.719923e+01 1.761622e+00 3.484123e-01 0.000000e+00 0.000000e+00 6.326004e+02 5.523690e+00 1.706615e-01 7.272443e-05 0.000000e+00 0.000000e+00 8.284466e-10 5.363150e-11 1.054932e-15 4.872952e-11 7.614476e-14 4.815892e+02 6.436462e-08 2.176948e-05 4.843853e-16 6.152146e-20 0.000000e+00 0.000000e+00
 1.600000e+01 1.688664e+02 1.007764e+02 2.336038e+00 1.043085e+00 0.000000e+00 0.000000e+00 3.798311e+02 2.418754e+01 7.735772e-01 1.812547e-02 0.000000e+00 0.000000e+00 6.082928e-08 3.198423e-09 7.704699e-12 1.024983e-09 9.642627e-12 1.043116e+03 8.481773e-04 6.582195e-04 6.678161e-13 6.366409e-14 0.000000e+00 0.000000e+00
 1.850000e+01 1.915656e+02 1.420758e+02 2.489779e+00 1.858879e+00 0.000000e+00 0.000000e+00 2.479311e+02 5.940413e+01 1.776829e+00 2.717353e-01 0.000000e+00 0.000000e+00 1.101114e-06 5.720207e-08 1.574091e-09 1.030498e-08 2.736139e-10 1.361569e+03 9.954024e-02 8.999603e-03 8.154567e-11 1.545477e-10 4.655110e-04 0.000000e+00
 2.100000e+01 2.053099e+02 1.726173e+02 2.405269e+00 2.414883e+00 0.000000e+00 0.000000e+00 2.101006e+02 1.074307e+02 2.882001e+00 1.047363e+00 0.000000e+00 0.000000e+00 6.870124e-06 4.771535e-07 3.971197e-08 5.287813e-08 3.183352e-09 1.460193e+03 2.041718e+00 8.073658e-02 3.825362e-09 2.468992e-08 5.341930e+01 0.000000e+00
 2.350000e+01 2.079841e+02 2.007338e+02 2.231367e+00 2.599659e+00 0.000000e+00 0.000000e+00 2.043187e+02 1.555737e+02 3.739127e+00 2.271983e+00 0.000000e+00 0.000000e+00 2.487602e-05 2.463196e-06 2.889047e-07 1.750086e-07 2.004599e-08 1.217120e+03 1.206616e+01 4.002031e-01 9.049942e-08 9.016226e-07 3.697045e+02 0.000000e+00
 2.600000e+01 2.069164e+02 2.152822e+02 2.029564e+00 2.645417e+00 0.000000e+00 0.000000e+00 2.092643e+02 1.984692e+02 4.194217e+00 3.510322e+00 0.000000e+00 0.000000e+00 5.952012e-05 9.472813e-06 1.087176e-06 4.581263e-07 1.017156e-07 8.378460e+02 3.431070e+01 1.078748e+00 1.222713e-06 1.120464e-05 7.848765e+02 5.623381e-03
 2.850000e+01 2.110669e+02 2.240149e+02 1.803187e+00 2.551368e+00 0.000000e+00 0.000000e+00 2.115224e+02 2.323285e+02 4.274860e+00 4.381816e+00 0.000000e+00 0.000000e+00 1.107528e-04 2.598611e-05 3.202533e-06 9.079051e-07 4.260778e-07 5.328402e+02 6.806493e+01 1.989778e+00 9.597136e-06 6.603569e-05 1.091143e+03 7.977891e+00
 3.100000e+01 2.049752e+02 2.371198e+02 1.604179e+00 2.365748e+00 0.000000e+00 0.000000e+00 2.093150e+02 2.531092e+02 4.177210e+00 4.774394e+00 0.000000e+00 0.000000e+00 1.706322e-04 5.378627e-05 7.696453e-06 1.445823e-06 1.403714e-06 3.434383e+02 1.077922e+02 2.800914e+00 4.637809e-05 2.401891e-04 1.177161e+03 1.138541e+02
 3.350000e+01 1.978616e+02 2.384343e+02 1.402086e+00 2.218749e+00 0.000000e+00 0.000000e+00 2.090862e+02 2.709378e+02 3.978654e+00 4.848586e+00 0.000000e+00 0.000000e+00 2.249887e-04 8.763177e-05 1.393744e-05 1.926015e-06 3.349986e-06 2.587131e+02 1.444665e+02 3.364668e+00 1.565231e-04 6.284247e-04 9.908832e+02 3.809128e+02
 3.600000e+01 1.963891e+02 2.360237e+02 1.229989e+00 2.014511e+00 0.000000e+00 0.000000e+00 2.042460e+02 2.823474e+02 3.668636e+00 4.739046e+00 0.000000e+00 0.000000e+00 2.676662e-04 1.213283e-04 2.039732e-05 2.254250e-06 5.463588e-06 2.283659e+02 1.747077e+02 3.716797e+00 3.842726e-04 1.265381e-03 6.884741e+02 7.036314e+02
 3.850000e+01 1.888112e+02 2.421085e+02 1.087139e+00 1.847023e+00 0.000000e+00 0.000000e+00 2.000036e+02 2.872168e+02 3.377114e+00 4.482968e+00 0.000000e+00 0.000000e+00 3.009365e-04 1.510886e-04 2.579453e-05 2.452771e-06 7.222164e-06 2.168037e+02 1.982685e+02 3.822194e+00 7.398169e-04 2.072118e-03 4.171878e+02 9.646953e+02
 4.100000e+01 1.855577e+02 2.358513e+02 9.523726e-01 1.705974e+00 0.000000e+00 0.000000e+00 1.963976e+02 2.934658e+02 3.057337e+00 4.209864e+00 0.000000e+00 0.000000e+00 3.244403e-04 1.687952e-04 2.928060e-05 2.487199e-06 8.276046e-06 2.129930e+02 2.149548e+02 3.845328e+00 1.176533e-03 2.878213e-03 2.616529e+02 1.072614e+03
