# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 3.500000e+00 1.713941e-04 5.634545e-20 1.713941e-04 2.141686e-11 1.711676e-04 0.000000e+00
 6.000000e+00 3.058644e+00 5.627584e-13 3.056743e+00 7.624806e-08 2.830973e+00 0.000000e+00
 8.500000e+00 1.710312e+02 4.567847e-08 1.642385e+02 5.830258e-04 2.437741e+01 0.000000e+00
 1.100000e+01 9.359453e+02 2.751123e-08 7.507692e+02 4.258795e-04 8.400578e+01 0.000000e+00
 1.350000e+01 1.975623e+03 2.842051e-09 1.315910e+03 1.426906e-04 1.367170e+02 0.000000e+00
 1.600000e+01 2.824295e+03 2.172231e-10 1.720949e+03 3.700149e-05 1.688664e+02 0.000000e+00
 1.850000e+01 3.378546e+03 1.646273e-11 2.009051e+03 9.690145e-06 1.915656e+02 0.000000e+00
 2.100000e+01 3.757067e+03 1.330536e-12 2.219943e+03 2.780372e-06 2.053099e+02 0.000000e+00
 2.350000e+01 4.049018e+03 1.162380e-13 2.378770e+03 7.662502e-07 2.079841e+02 0.000000e+00
 2.600000e+01 4.279970e+03 1.098958e-14 2.500795e+03 1.804344e-07 2.069164e+02 0.000000e+00
 2.850000e+01 4.460882e+03 1.114278e-15 2.596359e+03 3.581273e-08 2.110669e+02 0.000000e+00
 3.100000e+01 4.604268e+03 1.216235e-16 2.672280e+03 7.193244e-09 2.049752e+02 0.000000e+00
 3.350000e+01 4.720448e+03 1.419115e-17 2.733239e+03 1.653100e-09 1.978616e+02 0.000000e+00
 3.600000e+01 4.815697e+03 1.759207e-18 2.782579e+03 4.222187e-10 1.963891e+02 0.000000e+00
 3.850000e+01 4.893767e+03 2.302139e-19 2.822688e+03 1.087021e-10 1.888112e+02 0.000000e+00
 4.100000e+01 4.957872e+03 3.179178e-20 2.855462e+03 2.566927e-11 1.855577e+02 0.000000e+00
